"authors","id","title","isbn","publication_year","language_code","book_rating"
"Suzanne Collins","2767052","The Hunger Games","439023483","2008","eng","4.34"
"Stephenie Meyer","41865","Twilight","316015849","2005","en-US","3.57"
"Harper Lee","2657","To Kill a Mockingbird","61120081","1960","eng","4.25"
"Dan Brown","960","Angels & Demons ","1416524797","2000","en-CA","3.85"
"Jane Austen","1885","Pride and Prejudice","679783261","1813","eng","4.24"
"Veronica Roth","13335037","Divergent","62024035","2011","eng","4.24"
"Anne Frank","48855","Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944","553296981","1947","eng","4.1"
"Stieg Larsson","2429135","MÃ¤n som hatar kvinnor","307269752","2005","eng","4.11"
"Suzanne Collins","6148028","Catching Fire","439023491","2009","eng","4.3"
"Suzanne Collins","7260188","Mockingjay","439023513","2010","eng","4.03"
